case,factor,status,candidate_count,accepted_count
APP-001,1,rank1_family,0,0
APP-001,2,ok,0,0
APP-001,3,rank1_family,0,0
APP-002,1,ok,0,0
APP-002,2,rank1_family,0,0
APP-002,3,rank1_family,0,0
APP-003,1,ok,0,0
APP-003,2,rank1_family,0,0
APP-003,3,rank1_family,0,0
APP-004,1,ok,0,0
APP-004,2,one_variable_factor,0,0
APP-004,3,rank1_family,0,0
APP-004,4,rank1_family,0,0
APP-004,5,one_variable_factor,0,0
APP-005,1,rank1_family,0,0
APP-005,2,rank1_family,0,0
APP-005,3,ok,0,0
APP-006,1,ok,0,0
APP-006,2,rank1_family,0,0
APP-006,3,rank1_family,0,0
APP-007-OR1,1,rank1_family,0,0
APP-007-OR1,2,ok,0,0
APP-007-OR1,3,rank1_family,0,0
APP-007-OR2,1,rank1_family,0,0
APP-007-OR2,2,rank1_family,0,0
APP-007-OR2,3,ok,0,0
APP-007,1,rank1_family,0,0
APP-007,2,rank1_family,0,0
APP-007,3,ok,0,0
APP-008,1,ok,0,0
APP-009,1,ok,0,0
APP-010,1,ok,1,1
APP-011-OR1,1,rank1_family,0,0
APP-011-OR1,2,rank1_family,0,0
APP-011-OR1,3,ok,0,0
APP-011-OR1,4,rank1_family,0,0
APP-011-OR1,5,rank1_family,0,0
APP-011-OR1,6,one_variable_factor,0,0
APP-011,1,rank1_family,0,0
APP-011,2,one_variable_factor,0,0
APP-011,3,rank1_family,0,0
APP-011,4,rank1_family,0,0
APP-011,5,ok,0,0
APP-011,6,rank1_family,0,0
APP-012-OR1,1,rank1_family,0,0
APP-012-OR1,2,ok,1,1
APP-012-OR1,3,rank1_family,0,0
APP-012-OR1,4,rank1_family,0,0
APP-012-OR1,5,rank1_family,0,0
APP-012,1,rank1_family,0,0
APP-012,2,rank1_family,0,0
APP-012,3,ok,1,1
APP-012,4,rank1_family,0,0
APP-012,5,rank1_family,0,0
