case,factor,status,candidate_count,accepted_count
APP-160,1,ok,1,1
APP-160,2,one_variable_factor,0,0
APP-160,3,one_variable_factor,0,0
APP-161,1,ok,1,1
APP-161,2,one_variable_factor,0,0
APP-161,3,one_variable_factor,0,0
APP-161,4,one_variable_factor,0,0
APP-161,5,one_variable_factor,0,0
APP-162,1,ok,1,1
APP-163,1,ok,1,1
APP-163,2,one_variable_factor,0,0
APP-163,3,one_variable_factor,0,0
APP-164,1,one_variable_factor,0,0
APP-164,2,one_variable_factor,0,0
APP-164,3,ok,2,2
APP-165,1,one_variable_factor,0,0
APP-165,2,ok,1,1
APP-165,3,one_variable_factor,0,0
APP-166,1,ok,0,0
APP-167,1,ok,0,0
APP-168,1,one_variable_factor,0,0
APP-168,2,ok,0,0
APP-168,3,one_variable_factor,0,0
APP-169-OR1,1,one_variable_factor,0,0
APP-169-OR1,2,ok,0,0
APP-169-OR1,3,one_variable_factor,0,0
APP-169,1,one_variable_factor,0,0
APP-169,2,one_variable_factor,0,0
APP-169,3,ok,0,0
APP-170,1,ok,0,0
APP-170,2,ok,0,0
APP-171-OR1,1,one_variable_factor,0,0
APP-171-OR1,2,one_variable_factor,0,0
APP-171-OR1,3,ok,0,0
APP-171,1,ok,0,0
APP-171,2,one_variable_factor,0,0
APP-171,3,one_variable_factor,0,0
APP-172,1,rank1_family,0,0
APP-172,2,ok,0,0
APP-172,3,rank1_family,0,0
APP-173,1,ok,0,0
