case,f,angles_pi,residual,status,branch
APP-160,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2--/R1;lift;k=0,0"
APP-161,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2+-/R1;lift;k=0,0"
APP-162,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2++/R1;lift;k=0,0"
APP-163,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2+-/R2;lift;k=0,0"
APP-164,40,"[9/10, 3/10, 1/5, 31/20, 3/20]",.1e-50,PASS,"sign--/R1;lift;k=0,0"
APP-164,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",.1e-50,PASS,"sign--/R1;lift;k=0,0"
APP-165,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",.1e-50,PASS,"sign--/R3;lift;k=0,0"
