case,factor,status,candidate_count,accepted_count
APP-201,1,one_variable_factor,0,0
APP-201,2,ok,2,2
APP-201,3,one_variable_factor,0,0
APP-202,1,rank1_family,0,0
APP-202,2,one_variable_factor,0,0
APP-202,3,one_variable_factor,0,0
APP-202,4,ok,1,1
APP-202,5,one_variable_factor,0,0
APP-202,6,one_variable_factor,0,0
APP-202,7,one_variable_factor,0,0
APP-202,8,one_variable_factor,0,0
APP-202,9,rank1_family,0,0
APP-203,1,ok,1,1
APP-204,1,ok,4,4
APP-205,1,one_variable_factor,0,0
APP-205,2,ok,1,1
APP-206,1,one_variable_factor,0,0
APP-206,2,ok,1,1
APP-207-OR1,1,ok,0,0
APP-207-OR2,1,ok,0,0
APP-207,1,ok,0,0
APP-208,1,ok,0,0
APP-209,1,ok,0,0
APP-210,1,ok,1,1
APP-210,2,one_variable_factor,0,0
APP-211,1,ok,1,1
APP-212,1,one_variable_factor,0,0
APP-212,2,ok,0,0
APP-213,1,one_variable_factor,0,0
APP-213,2,one_variable_factor,0,0
APP-213,3,ok,0,0
APP-214,1,ok,0,0
