case,factor,status,candidate_count,accepted_count
APP-114,1,ok,0,0
APP-114,2,one_variable_factor,0,0
APP-114,3,one_variable_factor,0,0
APP-115,1,ok,0,0
APP-116,1,ok,0,0
APP-116,2,one_variable_factor,0,0
APP-116,3,one_variable_factor,0,0
APP-117,1,ok,0,0
APP-118,1,one_variable_factor,0,0
APP-118,2,ok,0,0
APP-118,3,one_variable_factor,0,0
APP-118,4,one_variable_factor,0,0
APP-118,5,one_variable_factor,0,0
APP-119,1,one_variable_factor,0,0
APP-119,2,one_variable_factor,0,0
APP-119,3,one_variable_factor,0,0
APP-119,4,one_variable_factor,0,0
APP-119,5,ok,0,0
APP-120,1,one_variable_factor,0,0
APP-120,2,one_variable_factor,0,0
APP-120,3,one_variable_factor,0,0
APP-120,4,ok,0,0
APP-120,5,one_variable_factor,0,0
APP-121,1,one_variable_factor,0,0
APP-121,2,ok,0,0
APP-121,3,one_variable_factor,0,0
APP-121,4,one_variable_factor,0,0
APP-121,5,one_variable_factor,0,0
APP-122,1,ok,0,0
APP-122,2,one_variable_factor,0,0
APP-122,3,one_variable_factor,0,0
APP-122,4,one_variable_factor,0,0
APP-122,5,one_variable_factor,0,0
APP-123,1,ok,0,0
APP-123,2,one_variable_factor,0,0
APP-123,3,one_variable_factor,0,0
APP-124-OR1,1,ok,0,0
APP-124-OR1,2,one_variable_factor,0,0
APP-124-OR1,3,one_variable_factor,0,0
APP-124,1,ok,0,0
APP-124,2,one_variable_factor,0,0
APP-124,3,one_variable_factor,0,0
APP-125,1,one_variable_factor,0,0
APP-125,2,one_variable_factor,0,0
APP-125,3,one_variable_factor,0,0
APP-125,4,one_variable_factor,0,0
APP-125,5,one_variable_factor,0,0
APP-125,6,one_variable_factor,0,0
APP-125,7,one_variable_factor,0,0
APP-125,8,one_variable_factor,0,0
APP-125,9,one_variable_factor,0,0
APP-125,10,ok,0,0
APP-125,11,one_variable_factor,0,0
APP-126,1,ok,0,0
APP-127,1,one_variable_factor,0,0
APP-127,2,ok,0,0
APP-127,3,one_variable_factor,0,0
APP-128,1,one_variable_factor,0,0
APP-128,2,one_variable_factor,0,0
APP-128,3,one_variable_factor,0,0
APP-128,4,ok,0,0
APP-128,5,one_variable_factor,0,0
APP-128,6,one_variable_factor,0,0
APP-128,7,one_variable_factor,0,0
