case,f,angles_pi,vertex_exact,angle_sum_exact,equation_26_exact,minimum_f_from_vertex_degrees,status,source
APP-176,12,"[1/3, 2/3, 1, 1/2, 5/6]",true,true,true,16,excluded_vertex_degree_bound,recursive_search
APP-180,16,"[1/4, 3/4, 1, 1/2, 3/4]",true,true,true,16,matches_manuscript,recursive_search
APP-180,16,"[1/4, 3/4, 1, 1/4, 1]",true,true,true,16,matches_manuscript,recursive_search
APP-181,16,"[1/4, 3/4, 1, 1/4, 1]",true,true,true,16,matches_manuscript,recursive_search
APP-182,16,"[1/4, 3/4, 1, 1/4, 1]",true,true,true,16,matches_manuscript,recursive_search
APP-183,16,"[1/4, 3/4, 1, 1/2, 3/4]",true,true,true,14,matches_manuscript,recursive_search
APP-184,20,"[1/5, 4/5, 1, 1/2, 7/10]",true,true,true,16,matches_manuscript,recursive_search
APP-196,12,"[2/3, 1/2, 2/3, 1, 1/2]",true,true,true,12,matches_manuscript,recursive_search
APP-197,14,"[4/7, 3/7, 5/7, 5/14, 17/14]",true,true,true,14,matches_manuscript,recursive_search
APP-197,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",true,true,true,14,matches_manuscript,recursive_search
APP-197,42,"[4/21, 16/21, 19/21, 19/42, 11/14]",true,true,true,14,matches_manuscript,recursive_search
APP-198,28,"[2/7, 4/7, 6/7, 4/7, 6/7]",true,true,true,16,matches_manuscript,recursive_search
APP-198,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",true,true,true,16,matches_manuscript,recursive_search
APP-199,20,"[2/5, 8/5, 4/5, 1/30, 11/30]",true,true,true,16,matches_manuscript,recursive_search
APP-199,20,"[2/5, 8/5, 4/5, 11/30, 1/30]",true,true,true,16,matches_manuscript,recursive_search
APP-199,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",true,true,true,16,matches_manuscript,recursive_search
APP-200,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",true,true,true,16,matches_manuscript,recursive_search
APP-201,14,"[4/7, 3/7, 5/7, 19/14, 3/14]",true,true,true,14,matches_manuscript,recursive_search
APP-201,16,"[1/2, 1/4, 3/4, 13/8, 1/8]",true,true,true,14,matches_manuscript,recursive_search
APP-202,14,"[4/7, 1/7, 5/7, 23/14, 3/14]",true,true,true,14,matches_manuscript,phase_family_lift
APP-202,16,"[1/2, 1/4, 3/4, 13/8, 1/8]",true,true,true,14,matches_manuscript,phase_family_lift
APP-202,18,"[4/9, 1/3, 7/9, 29/18, 1/18]",true,true,true,14,matches_manuscript,phase_family_lift
APP-202,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",true,true,true,14,matches_manuscript,recursive_search
APP-203,16,"[1/2, 1/4, 3/4, 13/8, 1/8]",true,true,true,16,matches_manuscript,recursive_search
APP-204,20,"[2/5, 2/5, 4/5, 3/5, 1]",true,true,true,14,matches_manuscript,recursive_search
APP-204,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",true,true,true,14,matches_manuscript,recursive_search
APP-204,20,"[2/5, 8/5, 4/5, 1/30, 11/30]",true,true,true,14,matches_manuscript,recursive_search
APP-204,20,"[2/5, 8/5, 4/5, 11/30, 1/30]",true,true,true,14,matches_manuscript,recursive_search
APP-205,28,"[2/7, 4/7, 6/7, 4/7, 6/7]",true,true,true,14,matches_manuscript,recursive_search
APP-206,36,"[2/9, 2/3, 8/9, 5/9, 7/9]",true,true,true,16,matches_manuscript,recursive_search
APP-208,12,"[2/3, 4/9, 8/9, 1, 1/3]",true,true,true,14,excluded_vertex_degree_bound,recursive_search
APP-210,20,"[2/3, 2/5, 4/5, 1, 1/3]",true,true,true,14,matches_manuscript,recursive_search
APP-211,20,"[2/3, 2/5, 4/5, 1, 1/3]",true,true,true,16,matches_manuscript,recursive_search
APP-217,12,"[1/2, 1/3, 1, 1/2, 1]",true,true,true,14,excluded_vertex_degree_bound,recursive_search
APP-223,20,"[2/5, 2/5, 4/5, 3/5, 1]",true,true,true,14,matches_manuscript,recursive_search
APP-223,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",true,true,true,14,matches_manuscript,recursive_search
