case,factor,status,candidate_count,accepted_count
APP-174,1,one_variable_factor,0,0
APP-174,2,one_variable_factor,0,0
APP-174,3,ok,0,0
APP-175,1,ok,0,0
APP-175,2,one_variable_factor,0,0
APP-175,3,one_variable_factor,0,0
APP-175,4,one_variable_factor,0,0
APP-175,5,one_variable_factor,0,0
APP-175,6,one_variable_factor,0,0
APP-175,7,one_variable_factor,0,0
APP-176,1,ok,0,0
APP-177-OR1,1,ok,0,0
APP-177,1,ok,0,0
APP-178-OR1,1,ok,0,0
APP-178,1,ok,0,0
APP-179,1,rank1_family,0,0
APP-179,2,rank1_family,0,0
APP-179,3,ok,0,0
APP-180-OR1,1,ok,2,2
APP-180-OR1,2,one_variable_factor,0,0
APP-180-OR1,3,one_variable_factor,0,0
APP-180,1,one_variable_factor,0,0
APP-180,2,one_variable_factor,0,0
APP-180,3,ok,2,2
APP-181-OR1,1,one_variable_factor,0,0
APP-181-OR1,2,one_variable_factor,0,0
APP-181-OR1,3,one_variable_factor,0,0
APP-181-OR1,4,one_variable_factor,0,0
APP-181-OR1,5,ok,1,1
APP-181,1,one_variable_factor,0,0
APP-181,2,one_variable_factor,0,0
APP-181,3,ok,1,1
APP-181,4,one_variable_factor,0,0
APP-181,5,one_variable_factor,0,0
APP-182,1,rank1_family,0,0
APP-182,2,rank1_family,0,0
APP-182,3,ok,1,1
APP-183,1,ok,1,1
APP-184,1,ok,1,1
APP-185-OR1,1,one_variable_factor,0,0
APP-185-OR1,2,one_variable_factor,0,0
APP-185-OR1,3,ok,0,0
APP-185-OR1,4,one_variable_factor,0,0
APP-185-OR1,5,one_variable_factor,0,0
APP-185-OR1,6,one_variable_factor,0,0
APP-185-OR1,7,one_variable_factor,0,0
