case,f,angles_pi,residual,status,branch
APP-180-OR1,16,"[1/4, 3/4, 1, 1/2, 3/4]",.2e-49,PASS,"sign+-/R6;lift;k=0,0"
APP-180-OR1,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R6;lift;k=0,0"
APP-180,16,"[1/4, 3/4, 1, 1/2, 3/4]",.2e-49,PASS,"sign+-/R6;lift;k=0,0"
APP-180,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R6;lift;k=0,0"
APP-181-OR1,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R1;lift;k=0,0"
APP-181,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R1;lift;k=0,0"
APP-182,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R1;lift;k=0,0"
APP-183,16,"[1/4, 3/4, 1, 1/2, 3/4]",.2e-49,PASS,"sign--/R2;lift;k=0,0"
APP-184,20,"[1/5, 4/5, 1, 1/2, 7/10]",0.,PASS,"sign-+/R3;lift;k=0,0"
