case,f,angles_pi,residual,status,branch
APP-131,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R3;lift;k=0,0"
APP-133,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2+-/R2;lift;k=0,0"
