case,factor,status,candidate_count,accepted_count
APP-129,1,ok,0,0
APP-130,1,ok,0,0
APP-131,1,one_variable_factor,0,0
APP-131,2,ok,1,1
APP-132,1,ok,0,0
APP-133,1,one_variable_factor,0,0
APP-133,2,ok,1,1
APP-133,3,one_variable_factor,0,0
APP-134-OR1,1,ok,0,0
APP-134-OR1,2,one_variable_factor,0,0
APP-134-OR1,3,one_variable_factor,0,0
APP-134,1,one_variable_factor,0,0
APP-134,2,ok,0,0
APP-134,3,one_variable_factor,0,0
APP-135,1,ok,0,0
APP-136,1,one_variable_factor,0,0
APP-136,2,one_variable_factor,0,0
APP-136,3,ok,0,0
APP-136,4,one_variable_factor,0,0
APP-137,1,ok,0,0
APP-137,2,one_variable_factor,0,0
APP-137,3,one_variable_factor,0,0
APP-138,1,one_variable_factor,0,0
APP-138,2,ok,0,0
APP-138,3,one_variable_factor,0,0
APP-139,1,one_variable_factor,0,0
APP-139,2,ok,0,0
APP-139,3,one_variable_factor,0,0
APP-140,1,one_variable_factor,0,0
APP-140,2,one_variable_factor,0,0
APP-140,3,one_variable_factor,0,0
APP-140,4,one_variable_factor,0,0
APP-140,5,ok,0,0
APP-140,6,one_variable_factor,0,0
APP-140,7,one_variable_factor,0,0
APP-141,1,one_variable_factor,0,0
APP-141,2,one_variable_factor,0,0
APP-141,3,ok,0,0
APP-141,4,one_variable_factor,0,0
APP-141,5,one_variable_factor,0,0
APP-142,1,ok,0,0
APP-142,2,one_variable_factor,0,0
APP-142,3,one_variable_factor,0,0
APP-143,1,one_variable_factor,0,0
APP-143,2,ok,0,0
APP-143,3,one_variable_factor,0,0
