case,factor,status,candidate_count,accepted_count
APP-013,1,one_variable_factor,0,0
APP-013,2,one_variable_factor,0,0
APP-013,3,ok,0,0
APP-014,1,rank1_family,0,0
APP-014,2,rank1_family,0,0
APP-014,3,rank1_family,0,0
APP-014,4,ok,0,0
APP-014,5,rank1_family,0,0
APP-015,1,ok,0,0
APP-015,2,one_variable_factor,0,0
APP-015,3,one_variable_factor,0,0
APP-015,4,rank1_family,0,0
APP-015,5,one_variable_factor,0,0
APP-015,6,one_variable_factor,0,0
APP-015,7,rank1_family,0,0
APP-016,1,rank1_family,0,0
APP-016,2,rank1_family,0,0
APP-016,3,rank1_family,0,0
APP-016,4,rank1_family,0,0
APP-016,5,ok,0,0
APP-016,6,rank1_family,0,0
APP-016,7,rank1_family,0,0
APP-017,1,rank1_family,0,0
APP-017,2,ok,0,0
APP-017,3,rank1_family,0,0
APP-018,1,rank1_family,0,0
APP-018,2,rank1_family,0,0
APP-018,3,ok,1,1
APP-018,4,one_variable_factor,0,0
APP-018,5,one_variable_factor,0,0
APP-019,1,rank1_family,0,0
APP-019,2,ok,1,1
APP-019,3,rank1_family,0,0
APP-020,1,rank1_family,0,0
APP-020,2,rank1_family,0,0
APP-020,3,rank1_family,0,0
APP-020,4,ok,1,1
APP-020,5,rank1_family,0,0
APP-021,1,rank1_family,0,0
APP-021,2,rank1_family,0,0
APP-021,3,ok,1,1
APP-022,1,rank1_family,0,0
APP-022,2,rank1_family,0,0
APP-022,3,one_variable_factor,0,0
APP-022,4,one_variable_factor,0,0
APP-022,5,one_variable_factor,0,0
APP-022,6,one_variable_factor,0,0
APP-022,7,ok,1,1
APP-023,1,one_variable_factor,0,0
APP-023,2,one_variable_factor,0,0
APP-023,3,rank1_family,0,0
APP-023,4,one_variable_factor,0,0
APP-023,5,rank1_family,0,0
APP-023,6,ok,0,0
APP-023,7,one_variable_factor,0,0
APP-023,8,one_variable_factor,0,0
APP-023,9,one_variable_factor,0,0
APP-024,1,one_variable_factor,0,0
APP-024,2,one_variable_factor,0,0
APP-024,3,ok,0,0
APP-025,1,one_variable_factor,0,0
APP-025,2,one_variable_factor,0,0
APP-025,3,one_variable_factor,0,0
APP-025,4,one_variable_factor,0,0
APP-025,5,ok,1,1
APP-025,6,one_variable_factor,0,0
APP-025,7,one_variable_factor,0,0
APP-025,8,one_variable_factor,0,0
APP-025,9,one_variable_factor,0,0
APP-026,1,ok,1,1
APP-026,2,one_variable_factor,0,0
APP-026,3,one_variable_factor,0,0
APP-027,1,one_variable_factor,0,0
APP-027,2,one_variable_factor,0,0
APP-027,3,ok,1,1
APP-028,1,one_variable_factor,0,0
APP-028,2,one_variable_factor,0,0
APP-028,3,ok,2,2
APP-028,4,rank1_family,0,0
APP-028,5,rank1_family,0,0
