case,f,angles_pi,residual,status,branch
APP-018,14,"[4/7, 3/7, 5/7, 5/7, 6/7]",.1e-49,PASS,"sigma2++/R3;lift;k=0,0"
APP-019,18,"[5/9, 4/9, 2/3, 13/18, 5/6]",.1e-49,PASS,"sigma2-+/R1;lift;k=0,0"
APP-020,24,"[2/3, 1, 1/2, 2/3, 1/3]",0.,PASS,"sign+-/R3;lift;k=0,0"
APP-021,24,"[2/3, 1, 1/2, 2/3, 1/3]",0.,PASS,"sign+-/R3;lift;k=0,0"
APP-022,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",.1e-50,PASS,"sign--/R2;lift;k=0,0"
APP-025,12,"[1, 2/3, 1/2, 1/2, 2/3]",0.,PASS,"sign-+/R3;lift;k=0,0"
APP-026,12,"[1/3, 1, 2/3, 5/6, 1/2]",0.,PASS,"sign-+/R4;lift;k=0,0"
APP-027,12,"[1/3, 1, 2/3, 5/6, 1/2]",0.,PASS,"sign-+/R1;lift;k=0,0"
APP-028,18,"[1/3, 1, 5/9, 5/6, 1/2]",.3e-49,PASS,"sigma2-+/R1;lift;k=0,0"
APP-028,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",.4e-49,PASS,"sigma2+-/R1;lift;k=0,0"
