case,factor,status,candidate_count,accepted_count
APP-029,1,one_variable_factor,0,0
APP-029,2,one_variable_factor,0,0
APP-029,3,one_variable_factor,0,0
APP-029,4,one_variable_factor,0,0
APP-029,5,ok,2,2
APP-030,1,one_variable_factor,0,0
APP-030,2,one_variable_factor,0,0
APP-030,3,ok,1,1
APP-031,1,one_variable_factor,0,0
APP-031,2,one_variable_factor,0,0
APP-031,3,one_variable_factor,0,0
APP-031,4,one_variable_factor,0,0
APP-031,5,one_variable_factor,0,0
APP-031,6,ok,1,1
APP-031,7,one_variable_factor,0,0
APP-031,8,one_variable_factor,0,0
APP-031,9,one_variable_factor,0,0
APP-032,1,one_variable_factor,0,0
APP-032,2,one_variable_factor,0,0
APP-032,3,ok,1,1
APP-033-OR1,1,rank1_family,0,0
APP-033-OR1,2,rank1_family,0,0
APP-033-OR1,3,ok,0,0
APP-033-OR2,1,ok,0,0
APP-033-OR2,2,rank1_family,0,0
APP-033-OR2,3,rank1_family,0,0
APP-033,1,rank1_family,0,0
APP-033,2,ok,0,0
APP-033,3,rank1_family,0,0
APP-034,1,rank1_family,0,0
APP-034,2,ok,0,0
APP-034,3,rank1_family,0,0
APP-035-OR1,1,rank1_family,0,0
APP-035-OR1,2,rank1_family,0,0
APP-035-OR1,3,ok,0,0
APP-035-OR1,4,rank1_family,0,0
APP-035-OR1,5,rank1_family,0,0
APP-035,1,rank1_family,0,0
APP-035,2,rank1_family,0,0
APP-035,3,ok,0,0
APP-035,4,rank1_family,0,0
APP-035,5,rank1_family,0,0
APP-036,1,rank1_family,0,0
APP-036,2,ok,0,0
APP-036,3,rank1_family,0,0
APP-037-OR1,1,ok,1,1
APP-037-OR1,2,rank1_family,0,0
APP-037-OR1,3,rank1_family,0,0
APP-037-OR1,4,rank1_family,0,0
APP-037-OR1,5,rank1_family,0,0
APP-037,1,rank1_family,0,0
APP-037,2,rank1_family,0,0
APP-037,3,rank1_family,0,0
APP-037,4,rank1_family,0,0
APP-037,5,ok,1,1
APP-038,1,rank1_family,0,0
APP-038,2,rank1_family,0,0
APP-038,3,ok,1,1
APP-039,1,ok,0,0
APP-040,1,ok,0,0
