case,f,angles_pi,residual,status,branch
APP-029,24,"[1/3, 1, 1/2, 5/6, 1/2]",0.,PASS,"sign--/R4;lift;k=0,0"
APP-029,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",.4e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-030,24,"[1/3, 1, 1/2, 5/6, 1/2]",0.,PASS,"tau+-/R1;lift;k=0,0"
APP-031,48,"[1/4, 7/4, 1/12, 7/8, 1/8]",0.,PASS,"sign--/R1;lift;k=0,0"
APP-032,60,"[1/3, 1, 2/5, 5/6, 1/2]",.2e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-037-OR1,24,"[1, 1/2, 1, 1/2, 1/6]",0.,PASS,"sign+-/R1;lift;k=0,0"
APP-037,24,"[1, 1/2, 1, 1/2, 1/6]",0.,PASS,"sign+-/R1;lift;k=0,0"
APP-038,24,"[1, 1/2, 1, 1/2, 1/6]",0.,PASS,"tau--/R1;lift;k=0,0"
