case,factor,status,candidate_count,accepted_count
APP-098,1,rank1_family,0,0
APP-098,2,ok,0,0
APP-098,3,rank1_family,0,0
APP-099,1,rank1_family,0,0
APP-099,2,ok,0,0
APP-099,3,rank1_family,0,0
APP-100,1,rank1_family,0,0
APP-100,2,rank1_family,0,0
APP-100,3,ok,0,0
APP-101,1,rank1_family,0,0
APP-101,2,rank1_family,0,0
APP-101,3,ok,0,0
APP-102,1,ok,0,0
APP-102,2,one_variable_factor,0,0
APP-102,3,one_variable_factor,0,0
APP-103,1,ok,0,0
APP-103,2,one_variable_factor,0,0
APP-103,3,one_variable_factor,0,0
APP-104,1,ok,0,0
APP-104,2,one_variable_factor,0,0
APP-104,3,one_variable_factor,0,0
APP-105,1,rank1_family,0,0
APP-105,2,one_variable_factor,0,0
APP-105,3,ok,0,0
APP-105,4,one_variable_factor,0,0
APP-106,1,ok,0,0
APP-106,2,one_variable_factor,0,0
APP-106,3,one_variable_factor,0,0
APP-106,4,rank1_family,0,0
APP-107,1,one_variable_factor,0,0
APP-107,2,one_variable_factor,0,0
APP-107,3,ok,0,0
APP-108,1,one_variable_factor,0,0
APP-108,2,ok,0,0
APP-108,3,one_variable_factor,0,0
APP-109,1,ok,0,0
APP-109,2,one_variable_factor,0,0
APP-109,3,one_variable_factor,0,0
APP-110,1,one_variable_factor,0,0
APP-110,2,rank1_family,0,0
APP-110,3,ok,0,0
APP-110,4,one_variable_factor,0,0
APP-110,5,rank1_family,0,0
APP-111,1,rank1_family,0,0
APP-111,2,rank1_family,0,0
APP-111,3,one_variable_factor,0,0
APP-111,4,ok,1,1
APP-111,5,one_variable_factor,0,0
APP-112,1,one_variable_factor,0,0
APP-112,2,one_variable_factor,0,0
APP-112,3,ok,0,0
APP-112,4,one_variable_factor,0,0
APP-113,1,one_variable_factor,0,0
APP-113,2,one_variable_factor,0,0
APP-113,3,one_variable_factor,0,0
APP-113,4,ok,0,0
APP-113,5,one_variable_factor,0,0
APP-113,6,one_variable_factor,0,0
