case,f,angles_pi,residual,status,branch
APP-164,40,"[9/10, 3/10, 1/5, 31/20, 3/20]",.1e-50,PASS,"sign--/R1;lift;k=0,0"
APP-164,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",.1e-50,PASS,"sign--/R1;lift;k=0,0"
APP-165,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",.1e-50,PASS,"sign--/R1;lift;k=0,0"
APP-169,12,"[1/3, 2/3, 1, 1/3, 1]",0.,PASS,"sign+-/R2;lift;k=0,0"
APP-169,12,"[1/3, 2/3, 1, 1/2, 5/6]",0.,PASS,"sign--/R2;lift;k=0,0"
APP-171,12,"[1/3, 2/3, 1, 1/3, 1]",0.,PASS,"sign-+/R3;lift;k=0,0"
APP-172,12,"[1/3, 2/3, 1, 1/3, 1]",0.,PASS,"sign-+/R5;lift;k=0,0"
APP-174,12,"[1/3, 2/3, 1, 1/3, 1]",0.,PASS,"sign+-/R3;lift;k=0,0"
APP-174,12,"[1/3, 2/3, 1, 1/2, 5/6]",0.,PASS,"sign--/R4;lift;k=0,0"
APP-176,12,"[1/3, 2/3, 1, 1/2, 5/6]",0.,PASS,"sign-+/R3;lift;k=0,0"
APP-180,16,"[1/4, 3/4, 1, 1/2, 3/4]",.2e-49,PASS,"sign+-/R3;lift;k=0,0"
APP-180,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R3;lift;k=0,0"
APP-181,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R1;lift;k=0,0"
APP-182,16,"[1/4, 3/4, 1, 1/4, 1]",.2e-49,PASS,"sign+-/R1;lift;k=0,0"
APP-183,16,"[1/4, 3/4, 1, 1/2, 3/4]",.2e-49,PASS,"sign--/R1;lift;k=0,0"
APP-184,20,"[1/5, 4/5, 1, 1/2, 7/10]",0.,PASS,"sign-+/R4;lift;k=0,0"
