# Active solution rows extracted only from Case blocks; struck/commented/Subcase rows excluded.
APP-010|12|4,4,6,7,9|9
APP-012|44|4,4,6,9,11|11
APP-018|14|4,3,5,5,6|7
APP-019|18|10,8,12,13,15|18
APP-020|24|4,6,3,4,2|6
APP-021|24|4,6,3,4,2|6
APP-022|40|18,6,4,11,23|20
APP-025|12|6,4,3,3,4|6
APP-026|12|2,6,4,5,3|6
APP-027|12|2,6,4,5,3|6
APP-028|18|6,18,10,15,9|18
APP-028|28|2,6,4,6,4|7
APP-029|24|2,6,3,5,3|6
APP-029|28|2,6,4,6,4|7
APP-030|24|2,6,3,5,3|6
APP-031|48|6,42,2,21,3|24
APP-032|60|10,30,12,25,15|30
APP-037|24|6,3,6,3,1|6
APP-038|24|6,3,6,3,1|6
APP-046|12|2,6,4,5,3|6
APP-047|28|2,6,4,6,4|7
APP-048|28|2,6,4,6,4|7
APP-058|16|6,1,2,1,3|4
APP-074|20|2,2,4,3,5|5
APP-074|20|4,4,8,7,9|10
APP-083|20|2,4,2,5,3|5
APP-084|20|2,4,2,5,3|5
APP-111|24|2,6,3,5,3|6
APP-131|28|2,10,6,3,1|7
APP-154|12|4,3,4,6,3|6
APP-155|20|8,12,4,7,1|10
APP-155|20|8,12,4,1,7|10
APP-156|20|8,12,4,7,1|10
APP-156|20|8,12,4,1,7|10
APP-157|20|8,12,4,7,1|10
APP-157|20|8,12,4,1,7|10
APP-133|28|6,4,2,3,7|7
APP-159|28|6,4,2,3,7|7
APP-160|28|6,4,2,3,7|7
APP-161|28|6,4,2,3,7|7
APP-162|28|6,4,2,3,7|7
APP-163|28|6,4,2,3,7|7
APP-164|40|18,6,4,31,3|20
APP-164|40|18,6,4,11,23|20
APP-165|40|18,6,4,11,23|20
APP-180|16|1,3,4,1,4|4
APP-180|16|1,3,4,2,3|4
APP-181|16|1,3,4,1,4|4
APP-182|16|1,3,4,1,4|4
APP-183|16|1,3,4,2,3|4
APP-184|20|2,8,10,5,7|10
APP-196|12|4,3,4,6,3|6
APP-197|14|8,6,10,5,17|14
APP-197|28|2,10,6,3,1|7
APP-197|42|8,32,38,19,33|42
APP-198|28|2,10,6,3,1|7
APP-198|28|2,4,6,4,6|7
APP-199|20|12,48,24,1,11|30
APP-199|20|12,48,24,11,1|30
APP-199|28|2,10,6,3,1|7
APP-200|28|2,10,6,3,1|7
APP-201|14|8,6,10,19,3|14
APP-201|16|4,2,6,13,1|8
APP-202|20|4,4,8,7,9|10
APP-203|16|4,2,6,13,1|8
APP-204|20|12,48,24,1,11|30
APP-204|20|12,48,24,11,1|30
APP-204|20|2,2,4,3,5|5
APP-204|20|4,4,8,7,9|10
APP-205|28|2,4,6,4,6|7
APP-206|36|2,6,8,5,7|9
APP-210|20|10,6,12,15,5|15
APP-211|20|10,6,12,15,5|15
APP-223|20|2,2,4,3,5|5
APP-223|20|4,4,8,7,9|10
APP-224|20|2,2,4,3,5|5
APP-224|20|4,4,8,7,9|10
