case,factor,status,candidate_count,accepted_count
APP-185,1,one_variable_factor,0,0
APP-185,2,one_variable_factor,0,0
APP-185,3,one_variable_factor,0,0
APP-185,4,one_variable_factor,0,0
APP-185,5,ok,0,0
APP-185,6,one_variable_factor,0,0
APP-185,7,one_variable_factor,0,0
APP-186,1,ok,0,0
APP-187,1,one_variable_factor,0,0
APP-187,2,ok,0,0
APP-187,3,one_variable_factor,0,0
APP-187,4,one_variable_factor,0,0
APP-187,5,one_variable_factor,0,0
APP-188,1,one_variable_factor,0,0
APP-188,2,ok,0,0
APP-188,3,one_variable_factor,0,0
APP-188,4,one_variable_factor,0,0
APP-188,5,one_variable_factor,0,0
APP-188,6,one_variable_factor,0,0
APP-188,7,one_variable_factor,0,0
APP-189,1,one_variable_factor,0,0
APP-189,2,ok,0,0
APP-189,3,one_variable_factor,0,0
APP-190,1,one_variable_factor,0,0
APP-190,2,one_variable_factor,0,0
APP-190,3,ok,0,0
APP-191,1,one_variable_factor,0,0
APP-191,2,one_variable_factor,0,0
APP-191,3,one_variable_factor,0,0
APP-191,4,ok,0,0
APP-191,5,one_variable_factor,0,0
APP-192,1,ok,0,0
APP-193,1,ok,0,0
APP-194,1,ok,0,0
APP-195,1,rank1_family,0,0
APP-195,2,rank1_family,0,0
APP-195,3,ok,0,0
APP-196,1,ok,1,1
APP-197,1,one_variable_factor,0,0
APP-197,2,one_variable_factor,0,0
APP-197,3,ok,3,3
APP-197,4,one_variable_factor,0,0
APP-197,5,one_variable_factor,0,0
APP-198,1,ok,2,2
APP-199,1,one_variable_factor,0,0
APP-199,2,one_variable_factor,0,0
APP-199,3,one_variable_factor,0,0
APP-199,4,one_variable_factor,0,0
APP-199,5,one_variable_factor,0,0
APP-199,6,one_variable_factor,0,0
APP-199,7,ok,3,3
APP-200,1,one_variable_factor,0,0
APP-200,2,one_variable_factor,0,0
APP-200,3,ok,1,1
