case,f,angles_pi,residual,status,branch
APP-196,12,"[2/3, 1/2, 2/3, 1, 1/2]",.10e-49,PASS,"sign-+/R1;lift;k=0,0"
APP-197,42,"[4/21, 16/21, 19/21, 19/42, 11/14]",.6e-50,PASS,"sigma2-+/R3;lift;k=0,0"
APP-197,14,"[4/7, 3/7, 5/7, 5/14, 17/14]",.1e-49,PASS,"sigma2-+/R7;lift;k=0,0"
APP-197,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R4;lift;k=0,0"
APP-198,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2++/R2;lift;k=0,0"
APP-198,28,"[2/7, 4/7, 6/7, 4/7, 6/7]",.4e-49,PASS,"sigma2++/R2;lift;k=0,0"
APP-199,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R5;lift;k=0,0"
APP-199,20,"[2/5, 8/5, 4/5, 11/30, 1/30]",.2e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-199,20,"[2/5, 8/5, 4/5, 1/30, 11/30]",.2e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-200,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R2;lift;k=0,0"
