case,factor,status,candidate_count,accepted_count
APP-215,1,one_variable_factor,0,0
APP-215,2,one_variable_factor,0,0
APP-215,3,ok,0,0
APP-216,1,ok,0,0
APP-217,1,one_variable_factor,0,0
APP-217,2,ok,0,0
APP-217,3,one_variable_factor,0,0
APP-217,4,one_variable_factor,0,0
APP-217,5,one_variable_factor,0,0
APP-217,6,one_variable_factor,0,0
APP-217,7,one_variable_factor,0,0
APP-217,8,one_variable_factor,0,0
APP-217,9,one_variable_factor,0,0
APP-218,1,ok,0,0
APP-219,1,ok,0,0
APP-219,2,one_variable_factor,0,0
APP-220,1,ok,0,0
APP-221,1,one_variable_factor,0,0
APP-221,2,ok,0,0
APP-222,1,ok,0,0
APP-223,1,one_variable_factor,0,0
APP-223,2,ok,2,2
APP-224,1,ok,2,2
APP-225,1,ok,0,0
APP-226,1,ok,0,0
APP-227,1,ok,0,0
APP-228,1,ok,0,0
APP-229,1,ok,0,0
APP-230,1,ok,0,0
