case,factor,status,candidate_count,accepted_count
APP-041,1,one_variable_factor,0,0
APP-041,2,ok,0,0
APP-041,3,one_variable_factor,0,0
APP-041,4,rank1_family,0,0
APP-041,5,one_variable_factor,0,0
APP-041,6,one_variable_factor,0,0
APP-041,7,one_variable_factor,0,0
APP-041,8,one_variable_factor,0,0
APP-041,9,one_variable_factor,0,0
APP-041,10,one_variable_factor,0,0
APP-041,11,one_variable_factor,0,0
APP-042,1,ok,0,0
APP-043,1,ok,0,0
APP-044,1,rank1_family,0,0
APP-044,2,rank1_family,0,0
APP-044,3,ok,0,0
APP-045,1,ok,0,0
APP-046,1,ok,1,1
APP-047,1,ok,1,1
APP-048,1,rank1_family,0,0
APP-048,2,rank1_family,0,0
APP-048,3,ok,1,1
APP-049,1,ok,0,0
APP-050,1,one_variable_factor,0,0
APP-050,2,ok,0,0
APP-050,3,one_variable_factor,0,0
APP-051,1,ok,0,0
APP-052,1,one_variable_factor,0,0
APP-052,2,one_variable_factor,0,0
APP-052,3,ok,0,0
APP-052,4,one_variable_factor,0,0
APP-052,5,one_variable_factor,0,0
APP-053,1,ok,0,0
APP-053,2,one_variable_factor,0,0
APP-053,3,one_variable_factor,0,0
APP-054,1,ok,0,0
APP-055,1,ok,0,0
APP-056,1,one_variable_factor,0,0
APP-056,2,one_variable_factor,0,0
APP-056,3,one_variable_factor,0,0
APP-056,4,ok,0,0
APP-056,5,one_variable_factor,0,0
