case,factor,status,candidate_count,accepted_count
APP-085,1,rank1_family,0,0
APP-085,2,rank1_family,0,0
APP-085,3,ok,0,0
APP-086-OR1,1,one_variable_factor,0,0
APP-086-OR1,2,ok,0,0
APP-086-OR1,3,one_variable_factor,0,0
APP-086-OR1,4,rank1_family,0,0
APP-086-OR1,5,rank1_family,0,0
APP-086,1,rank1_family,0,0
APP-086,2,ok,0,0
APP-086,3,one_variable_factor,0,0
APP-086,4,one_variable_factor,0,0
APP-086,5,rank1_family,0,0
APP-087,1,rank1_family,0,0
APP-087,2,one_variable_factor,0,0
APP-087,3,one_variable_factor,0,0
APP-087,4,ok,0,0
APP-087,5,one_variable_factor,0,0
APP-087,6,one_variable_factor,0,0
APP-087,7,rank1_family,0,0
APP-088-OR1,1,rank1_family,0,0
APP-088-OR1,2,rank1_family,0,0
APP-088-OR1,3,ok,0,0
APP-088,1,ok,0,0
APP-088,2,rank1_family,0,0
APP-088,3,rank1_family,0,0
APP-089,1,rank1_family,0,0
APP-089,2,ok,0,0
APP-089,3,rank1_family,0,0
APP-090-OR1,1,rank1_family,0,0
APP-090-OR1,2,ok,0,0
APP-090-OR1,3,rank1_family,0,0
APP-090,1,rank1_family,0,0
APP-090,2,rank1_family,0,0
APP-090,3,ok,0,0
APP-091,1,rank1_family,0,0
APP-091,2,rank1_family,0,0
APP-091,3,ok,0,0
APP-092,1,ok,0,0
APP-092,2,rank1_family,0,0
APP-092,3,rank1_family,0,0
APP-093,1,ok,0,0
APP-093,2,rank1_family,0,0
APP-093,3,rank1_family,0,0
APP-094,1,rank1_family,0,0
APP-094,2,rank1_family,0,0
APP-094,3,ok,0,0
APP-095,1,rank1_family,0,0
APP-095,2,rank1_family,0,0
APP-095,3,one_variable_factor,0,0
APP-095,4,one_variable_factor,0,0
APP-095,5,rank1_family,0,0
APP-095,6,one_variable_factor,0,0
APP-095,7,one_variable_factor,0,0
APP-095,8,rank1_family,0,0
APP-096,1,one_variable_factor,0,0
APP-096,2,rank1_family,0,0
APP-096,3,one_variable_factor,0,0
APP-096,4,one_variable_factor,0,0
APP-096,5,one_variable_factor,0,0
APP-096,6,one_variable_factor,0,0
APP-096,7,one_variable_factor,0,0
APP-096,8,rank1_family,0,0
APP-097,1,rank1_family,0,0
APP-097,2,rank1_family,0,0
APP-097,3,ok,0,0
