case,factor,status,candidate_count,accepted_count
APP-144,1,rank1_family,0,0
APP-144,2,rank1_family,0,0
APP-144,3,ok,0,0
APP-145,1,one_variable_factor,0,0
APP-145,2,ok,0,0
APP-145,3,one_variable_factor,0,0
APP-145,4,one_variable_factor,0,0
APP-145,5,one_variable_factor,0,0
APP-146,1,one_variable_factor,0,0
APP-146,2,one_variable_factor,0,0
APP-146,3,ok,0,0
APP-147,1,one_variable_factor,0,0
APP-147,2,one_variable_factor,0,0
APP-147,3,one_variable_factor,0,0
APP-147,4,one_variable_factor,0,0
APP-147,5,one_variable_factor,0,0
APP-147,6,one_variable_factor,0,0
APP-147,7,ok,0,0
APP-148,1,one_variable_factor,0,0
APP-148,2,one_variable_factor,0,0
APP-148,3,one_variable_factor,0,0
APP-148,4,rank1_family,0,0
APP-148,5,rank1_family,0,0
APP-148,6,rank1_family,0,0
APP-148,7,rank1_family,0,0
APP-148,8,one_variable_factor,0,0
APP-149,1,ok,0,0
APP-149,2,one_variable_factor,0,0
APP-149,3,one_variable_factor,0,0
APP-149,4,one_variable_factor,0,0
APP-149,5,one_variable_factor,0,0
APP-150,1,ok,0,0
APP-150,2,one_variable_factor,0,0
APP-150,3,rank1_family,0,0
APP-150,4,rank1_family,0,0
APP-150,5,one_variable_factor,0,0
APP-151,1,ok,0,0
APP-152,1,ok,0,0
APP-153,1,one_variable_factor,0,0
APP-153,2,one_variable_factor,0,0
APP-153,3,one_variable_factor,0,0
APP-153,4,one_variable_factor,0,0
APP-153,5,ok,0,0
APP-153,6,one_variable_factor,0,0
APP-153,7,one_variable_factor,0,0
APP-154-OR1,1,ok,1,1
APP-154,1,ok,1,1
APP-155,1,one_variable_factor,0,0
APP-155,2,one_variable_factor,0,0
APP-155,3,ok,2,2
APP-155,4,one_variable_factor,0,0
APP-155,5,one_variable_factor,0,0
APP-155,6,one_variable_factor,0,0
APP-155,7,one_variable_factor,0,0
APP-156,1,ok,2,2
APP-157,1,ok,2,2
APP-157,2,one_variable_factor,0,0
APP-157,3,one_variable_factor,0,0
APP-157,4,one_variable_factor,0,0
APP-157,5,one_variable_factor,0,0
APP-159,1,one_variable_factor,0,0
APP-159,2,one_variable_factor,0,0
APP-159,3,ok,1,1
