case,factor,status,candidate_count,accepted_count
APP-071-OR1,1,one_variable_factor,0,0
APP-071-OR1,2,ok,0,0
APP-071-OR1,3,one_variable_factor,0,0
APP-071-OR1,4,one_variable_factor,0,0
APP-071-OR1,5,one_variable_factor,0,0
APP-071-OR1,6,one_variable_factor,0,0
APP-071-OR1,7,one_variable_factor,0,0
APP-071,1,one_variable_factor,0,0
APP-071,2,ok,0,0
APP-071,3,one_variable_factor,0,0
APP-071,4,one_variable_factor,0,0
APP-071,5,one_variable_factor,0,0
APP-071,6,one_variable_factor,0,0
APP-071,7,one_variable_factor,0,0
APP-072,1,one_variable_factor,0,0
APP-072,2,one_variable_factor,0,0
APP-072,3,one_variable_factor,0,0
APP-072,4,one_variable_factor,0,0
APP-072,5,ok,0,0
APP-073,1,ok,0,0
APP-074-OR1,1,ok,2,2
APP-074-OR1,2,one_variable_factor,0,0
APP-074,1,one_variable_factor,0,0
APP-074,2,ok,2,2
APP-075,1,one_variable_factor,0,0
APP-075,2,one_variable_factor,0,0
APP-075,3,one_variable_factor,0,0
APP-075,4,one_variable_factor,0,0
APP-075,5,ok,0,0
APP-076,1,one_variable_factor,0,0
APP-076,2,ok,0,0
APP-076,3,one_variable_factor,0,0
APP-077,1,ok,0,0
APP-077,2,one_variable_factor,0,0
APP-077,3,one_variable_factor,0,0
APP-078,1,one_variable_factor,0,0
APP-078,2,one_variable_factor,0,0
APP-078,3,one_variable_factor,0,0
APP-078,4,one_variable_factor,0,0
APP-078,5,ok,0,0
APP-078,6,one_variable_factor,0,0
APP-078,7,one_variable_factor,0,0
APP-078,8,one_variable_factor,0,0
APP-078,9,one_variable_factor,0,0
APP-079,1,one_variable_factor,0,0
APP-079,2,one_variable_factor,0,0
APP-079,3,one_variable_factor,0,0
APP-079,4,ok,0,0
APP-079,5,one_variable_factor,0,0
APP-079,6,one_variable_factor,0,0
APP-079,7,one_variable_factor,0,0
APP-079,8,one_variable_factor,0,0
APP-079,9,one_variable_factor,0,0
APP-079,10,one_variable_factor,0,0
APP-079,11,one_variable_factor,0,0
APP-080,1,one_variable_factor,0,0
APP-080,2,ok,0,0
APP-080,3,one_variable_factor,0,0
APP-080,4,one_variable_factor,0,0
APP-080,5,one_variable_factor,0,0
APP-081,1,one_variable_factor,0,0
APP-081,2,ok,0,0
APP-081,3,one_variable_factor,0,0
APP-082,1,one_variable_factor,0,0
APP-082,2,one_variable_factor,0,0
APP-082,3,ok,0,0
APP-082,4,one_variable_factor,0,0
APP-082,5,one_variable_factor,0,0
APP-083,1,one_variable_factor,0,0
APP-083,2,one_variable_factor,0,0
APP-083,3,one_variable_factor,0,0
APP-083,4,one_variable_factor,0,0
APP-083,5,one_variable_factor,0,0
APP-083,6,one_variable_factor,0,0
APP-083,7,one_variable_factor,0,0
APP-083,8,one_variable_factor,0,0
APP-083,9,ok,1,1
APP-083,10,one_variable_factor,0,0
APP-083,11,one_variable_factor,0,0
APP-083,12,one_variable_factor,0,0
APP-083,13,one_variable_factor,0,0
APP-084,1,one_variable_factor,0,0
APP-084,2,ok,1,1
APP-084,3,one_variable_factor,0,0
APP-084,4,one_variable_factor,0,0
APP-084,5,one_variable_factor,0,0
