case,f,angles_pi,residual,status,branch
APP-074-OR1,20,"[2/5, 2/5, 4/5, 3/5, 1]",.3e-49,PASS,"sigma2+-/R3;lift;k=0,0"
APP-074-OR1,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2--/R2;lift;k=0,0"
APP-074,20,"[2/5, 2/5, 4/5, 3/5, 1]",.3e-49,PASS,"sigma2+-/R3;lift;k=0,0"
APP-074,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2--/R2;lift;k=0,0"
APP-083,20,"[2/5, 4/5, 2/5, 1, 3/5]",.3e-49,PASS,"sigma2+-/R5;lift;k=0,0"
APP-084,20,"[2/5, 4/5, 2/5, 1, 3/5]",.3e-49,PASS,"sign+-/R2;lift;k=0,0"
